id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,cantidad,precio_unitario,monto_descuento,monto_total,categoria_producto,costo_unitario,proveedor,costo_total,margen_bruto
order_11,user_3547,2025-06-18,Colombia,desktop,social,Phone-Pro-128GB,1.0,231.74,0.0,231.74,Electrónica,10.12,King Ltd,10.12,221.62
order_12,user_6810,2025-03-17,Colombia,mobile,social,Jacket-Winter-M,1.0,499.48,5.0,494.48,Moda,189.31,Mcmillan-Rhodes,189.31,305.17
order_13,user_3170,2025-04-10,Colombia,desktop,organic,Jacket-Winter-M,1.0,496.94,0.0,496.94,Moda,189.31,Mcmillan-Rhodes,189.31,307.63
order_14,user_6516,2025-06-22,Colombia,desktop,social,Vacuum-Pro-Black,1.0,400.92,5.0,395.92,Hogar,16.6,"Rivera, Carr and Finley",16.6,379.32
order_15,user_1500,2025-04-03,Colombia,mobile,organic,Jacket-Winter-M,2.0,373.47,0.0,746.94,Moda,189.31,Mcmillan-Rhodes,378.62,368.32000000000005
order_16,user_3710,2025-02-11,Colombia,mobile,social,Laptop-Gaming-16GB,2.0,355.07,10.0,700.14,Electrónica,280.68,"Fuller, Pena and Myers",561.36,138.77999999999997
order_17,user_3458,2025-03-14,Mexico,mobile,paid_search,Sneakers-Urban-42,2.0,308.41,0.0,616.82,Moda,17.21,Greene-Smith,34.42,582.4000000000001
order_18,user_7316,2025-01-23,Mexico,mobile,social,Phone-Pro-128GB,2.0,180.64,5.0,356.28,Electrónica,10.12,King Ltd,20.24,336.03999999999996
order_19,user_7190,2025-02-03,Argentina,mobile,social,Jacket-Winter-M,2.0,45.86,0.0,91.72,Moda,189.31,Mcmillan-Rhodes,378.62,-286.9
order_20,user_396,2025-02-10,Argentina,mobile,organic,Tablet-Standard-64GB,2.0,489.11,10.0,968.22,Electrónica,25.21,Bowers LLC,50.42,917.8000000000001
order_21,user_6296,2025-01-26,Mexico,desktop,paid_search,Blender-XL-Red,2.0,203.26,0.0,406.52,Hogar,176.64,Long-Reid,353.28,53.24000000000001
order_22,user_423,2025-05-07,Mexico,desktop,paid_search,Vacuum-Pro-Black,2.0,418.56,0.0,837.12,Hogar,16.6,"Rivera, Carr and Finley",33.2,803.92
order_23,user_3623,2025-02-23,Colombia,desktop,organic,Jacket-Winter-M,2.0,487.85,5.0,970.7,Moda,189.31,Mcmillan-Rhodes,378.62,592.08
order_424,user_5458,2025-05-12,Argentina,desktop,paid_search,Phone-Pro-128GB,1.0,277.69,10.0,267.69,Electrónica,10.12,King Ltd,10.12,257.57
order_425,user_6520,2025-04-20,Mexico,desktop,social,Vacuum-Pro-Black,2.0,239.85,10.0,469.7,Hogar,16.6,"Rivera, Carr and Finley",33.2,436.5
order_426,user_7171,2025-04-21,Mexico,mobile,social,Tablet-Standard-64GB,2.0,330.04,5.0,655.08,Electrónica,25.21,Bowers LLC,50.42,604.6600000000001
order_427,user_6621,2025-05-08,Colombia,desktop,social,Laptop-Gaming-16GB,1.0,176.1,0.0,176.1,Electrónica,280.68,"Fuller, Pena and Myers",280.68,-104.58000000000001
order_428,user_5591,2025-04-08,Argentina,desktop,social,Laptop-Gaming-16GB,1.0,459.02,0.0,459.02,Electrónica,280.68,"Fuller, Pena and Myers",280.68,178.33999999999997
order_429,user_7417,2025-04-24,Mexico,desktop,paid_search,Blender-XL-Red,2.0,34.26,10.0,58.519999999999996,Hogar,176.64,Long-Reid,353.28,-294.76
order_430,user_4802,2025-06-15,Colombia,desktop,social,Blender-XL-Red,1.0,214.03,5.0,209.03,Hogar,176.64,Long-Reid,176.64,32.390000000000015
order_431,user_4372,2025-01-22,Colombia,desktop,social,Jacket-Winter-M,1.0,392.21,0.0,392.21,Moda,189.31,Mcmillan-Rhodes,189.31,202.89999999999998
order_432,user_5170,2025-05-09,Colombia,mobile,social,Sneakers-Urban-42,2.0,49.57,5.0,94.14,Moda,17.21,Greene-Smith,34.42,59.72
order_433,user_5515,2025-06-14,Argentina,desktop,organic,Tablet-Standard-64GB,1.0,467.88,10.0,457.88,Electrónica,25.21,Bowers LLC,25.21,432.67
order_434,user_1982,2025-03-12,Colombia,desktop,social,Sneakers-Urban-42,2.0,219.8,10.0,429.6,Moda,17.21,Greene-Smith,34.42,395.18
order_435,user_3275,2025-01-26,Argentina,mobile,social,Sneakers-Urban-42,1.0,140.41,15.0,125.41,Moda,17.21,Greene-Smith,17.21,108.19999999999999
order_436,user_1249,2025-04-03,Colombia,mobile,organic,Jacket-Winter-M,1.0,69.38,15.0,54.379999999999995,Moda,189.31,Mcmillan-Rhodes,189.31,-134.93
order_437,user_3299,2025-02-21,Mexico,desktop,social,Tablet-Standard-64GB,1.0,345.98,0.0,345.98,Electrónica,25.21,Bowers LLC,25.21,320.77000000000004
order_438,user_3243,2025-06-22,Argentina,desktop,paid_search,Vacuum-Pro-Black,1.0,390.19,5.0,385.19,Hogar,16.6,"Rivera, Carr and Finley",16.6,368.59
order_439,user_3394,2025-03-19,Mexico,desktop,paid_search,Vacuum-Pro-Black,1.0,200.0,0.0,200.0,Hogar,16.6,"Rivera, Carr and Finley",16.6,183.4
order_440,user_6033,2025-06-24,Colombia,mobile,paid_search,Jacket-Winter-M,2.0,324.55,0.0,649.1,Moda,189.31,Mcmillan-Rhodes,378.62,270.48
order_441,user_6898,2025-02-18,Colombia,desktop,paid_search,Jacket-Winter-M,2.0,191.75,15.0,368.5,Moda,189.31,Mcmillan-Rhodes,378.62,-10.120000000000005
order_442,user_1583,2025-02-05,Mexico,mobile,organic,Jacket-Winter-M,1.0,372.17,10.0,362.17,Moda,189.31,Mcmillan-Rhodes,189.31,172.86
order_443,user_928,2025-05-20,Mexico,desktop,organic,Jacket-Winter-M,1.0,293.33,0.0,293.33,Moda,189.31,Mcmillan-Rhodes,189.31,104.01999999999998
order_444,user_105,2025-01-03,Mexico,mobile,social,Jacket-Winter-M,2.0,169.38,15.0,323.76,Moda,189.31,Mcmillan-Rhodes,378.62,-54.860000000000014
order_445,user_7769,2025-03-14,Argentina,desktop,organic,Vacuum-Pro-Black,2.0,447.74,5.0,890.48,Hogar,16.6,"Rivera, Carr and Finley",33.2,857.28
order_446,user_6222,2025-04-14,Colombia,mobile,paid_search,Phone-Pro-128GB,1.0,23.74,0.0,23.74,Electrónica,10.12,King Ltd,10.12,13.62
order_447,user_2917,2025-05-29,Colombia,desktop,organic,Vacuum-Pro-Black,1.0,265.94,0.0,265.94,Hogar,16.6,"Rivera, Carr and Finley",16.6,249.34
order_448,user_3332,2025-01-04,Argentina,desktop,organic,Tablet-Standard-64GB,1.0,274.5,0.0,274.5,Electrónica,25.21,Bowers LLC,25.21,249.29
order_449,user_3111,2025-05-12,Argentina,mobile,organic,Vacuum-Pro-Black,1.0,309.25,0.0,309.25,Hogar,16.6,"Rivera, Carr and Finley",16.6,292.65
order_450,user_1828,2025-02-08,Argentina,mobile,social,Tablet-Standard-64GB,1.0,370.1,15.0,355.1,Electrónica,25.21,Bowers LLC,25.21,329.89000000000004
order_451,user_2814,2025-02-28,Mexico,desktop,organic,Vacuum-Pro-Black,1.0,446.11,0.0,446.11,Hogar,16.6,"Rivera, Carr and Finley",16.6,429.51
order_452,user_6593,2025-02-23,Argentina,mobile,social,Sneakers-Urban-42,2.0,328.21,0.0,656.42,Moda,17.21,Greene-Smith,34.42,622.0
order_453,user_3948,2025-05-13,Mexico,desktop,organic,Blender-XL-Red,2.0,80.87,0.0,161.74,Hogar,176.64,Long-Reid,353.28,-191.53999999999996
order_454,user_4619,2025-05-22,Argentina,desktop,organic,Tablet-Standard-64GB,2.0,452.87,0.0,905.74,Electrónica,25.21,Bowers LLC,50.42,855.32
order_455,user_2425,2025-04-29,Argentina,desktop,organic,Phone-Pro-128GB,1.0,50.71,0.0,50.71,Electrónica,10.12,King Ltd,10.12,40.59
order_456,user_4547,2025-01-22,Argentina,desktop,social,Blender-XL-Red,1.0,450.24,5.0,445.24,Hogar,176.64,Long-Reid,176.64,268.6
order_457,user_543,2025-02-18,Mexico,mobile,social,Jacket-Winter-M,1.0,358.78,0.0,358.78,Moda,189.31,Mcmillan-Rhodes,189.31,169.46999999999997
order_458,user_6321,2025-06-28,Argentina,mobile,organic,Sneakers-Urban-42,2.0,177.36,0.0,354.72,Moda,17.21,Greene-Smith,34.42,320.3
order_459,user_1554,2025-04-23,Argentina,desktop,social,Vacuum-Pro-Black,1.0,304.84,0.0,304.84,Hogar,16.6,"Rivera, Carr and Finley",16.6,288.23999999999995
order_460,user_4307,2025-05-23,Mexico,desktop,social,Sneakers-Urban-42,1.0,69.97,0.0,69.97,Moda,17.21,Greene-Smith,17.21,52.76
order_461,user_2882,2025-02-05,Mexico,mobile,paid_search,Sneakers-Urban-42,1.0,117.53,10.0,107.53,Moda,17.21,Greene-Smith,17.21,90.32
order_462,user_3632,2025-02-02,Colombia,desktop,organic,Phone-Pro-128GB,2.0,413.69,0.0,827.38,Electrónica,10.12,King Ltd,20.24,807.14
order_463,user_5469,2025-01-03,Mexico,desktop,paid_search,Jacket-Winter-M,1.0,337.57,10.0,327.57,Moda,189.31,Mcmillan-Rhodes,189.31,138.26
order_464,user_4015,2025-06-18,Colombia,desktop,paid_search,Blender-XL-Red,1.0,66.53,0.0,66.53,Hogar,176.64,Long-Reid,176.64,-110.10999999999999
order_465,user_2039,2025-03-28,Mexico,desktop,social,Vacuum-Pro-Black,1.0,167.17,5.0,162.17,Hogar,16.6,"Rivera, Carr and Finley",16.6,145.57
order_466,user_2233,2025-04-19,Mexico,mobile,organic,Blender-XL-Red,1.0,55.89,5.0,50.89,Hogar,176.64,Long-Reid,176.64,-125.74999999999999
order_467,user_4439,2025-04-14,Mexico,mobile,organic,Sneakers-Urban-42,2.0,137.78,0.0,275.56,Moda,17.21,Greene-Smith,34.42,241.14
order_468,user_4404,2025-06-26,Argentina,desktop,social,Vacuum-Pro-Black,1.0,237.66,0.0,237.66,Hogar,16.6,"Rivera, Carr and Finley",16.6,221.06
order_469,user_7202,2025-03-25,Colombia,desktop,organic,Jacket-Winter-M,1.0,458.6,10.0,448.6,Moda,189.31,Mcmillan-Rhodes,189.31,259.29
order_470,user_431,2025-05-26,Colombia,desktop,paid_search,Sneakers-Urban-42,1.0,373.45,0.0,373.45,Moda,17.21,Greene-Smith,17.21,356.24
order_471,user_2254,2025-02-05,Mexico,desktop,social,Sneakers-Urban-42,1.0,268.65,0.0,268.65,Moda,17.21,Greene-Smith,17.21,251.43999999999997
order_472,user_4042,2025-03-26,Mexico,mobile,social,Sneakers-Urban-42,2.0,245.81,0.0,491.62,Moda,17.21,Greene-Smith,34.42,457.2
order_473,user_6952,2025-06-04,Argentina,mobile,social,Sneakers-Urban-42,1.0,246.52,5.0,241.52,Moda,17.21,Greene-Smith,17.21,224.31
order_474,user_5257,2025-05-27,Argentina,mobile,social,Vacuum-Pro-Black,1.0,315.93,5.0,310.93,Hogar,16.6,"Rivera, Carr and Finley",16.6,294.33
order_475,user_2891,2025-04-08,Colombia,desktop,paid_search,Jacket-Winter-M,2.0,302.46,5.0,599.92,Moda,189.31,Mcmillan-Rhodes,378.62,221.29999999999995
order_476,user_3575,2025-04-11,Argentina,desktop,social,Phone-Pro-128GB,1.0,456.64,0.0,456.64,Electrónica,10.12,King Ltd,10.12,446.52
order_477,user_6072,2025-04-09,Mexico,mobile,paid_search,Sneakers-Urban-42,2.0,427.03,0.0,854.06,Moda,17.21,Greene-Smith,34.42,819.64
order_478,user_3504,2025-01-28,Mexico,mobile,social,Vacuum-Pro-Black,2.0,296.89,10.0,583.78,Hogar,16.6,"Rivera, Carr and Finley",33.2,550.5799999999999
order_479,user_232,2025-04-26,Mexico,mobile,organic,Jacket-Winter-M,1.0,237.18,0.0,237.18,Moda,189.31,Mcmillan-Rhodes,189.31,47.870000000000005
order_480,user_6483,2025-03-19,Argentina,mobile,organic,Blender-XL-Red,1.0,490.33,0.0,490.33,Hogar,176.64,Long-Reid,176.64,313.69
order_481,user_5807,2025-01-27,Argentina,desktop,organic,Blender-XL-Red,2.0,484.21,10.0,958.42,Hogar,176.64,Long-Reid,353.28,605.14
order_482,user_6197,2025-02-15,Colombia,mobile,social,Sneakers-Urban-42,1.0,317.78,5.0,312.78,Moda,17.21,Greene-Smith,17.21,295.57
order_483,user_5224,2025-06-26,Argentina,mobile,social,Blender-XL-Red,1.0,397.03,10.0,387.03,Hogar,176.64,Long-Reid,176.64,210.39
order_484,user_6000,2025-01-07,Mexico,mobile,organic,Sneakers-Urban-42,2.0,438.53,0.0,877.06,Moda,17.21,Greene-Smith,34.42,842.64
order_485,user_4768,2025-01-18,Mexico,desktop,organic,Blender-XL-Red,1.0,71.23,15.0,56.230000000000004,Hogar,176.64,Long-Reid,176.64,-120.40999999999998
order_486,user_3620,2025-04-09,Argentina,desktop,social,Phone-Pro-128GB,1.0,172.62,0.0,172.62,Electrónica,10.12,King Ltd,10.12,162.5
order_487,user_5269,2025-03-01,Colombia,desktop,paid_search,Vacuum-Pro-Black,2.0,270.55,0.0,541.1,Hogar,16.6,"Rivera, Carr and Finley",33.2,507.90000000000003
order_488,user_5723,2025-05-15,Argentina,mobile,paid_search,Sneakers-Urban-42,1.0,403.11,0.0,403.11,Moda,17.21,Greene-Smith,17.21,385.90000000000003
order_489,user_6612,2025-01-15,Argentina,mobile,social,Jacket-Winter-M,1.0,333.83,10.0,323.83,Moda,189.31,Mcmillan-Rhodes,189.31,134.51999999999998
order_490,user_3839,2025-01-03,Mexico,desktop,organic,Sneakers-Urban-42,2.0,70.4,5.0,135.8,Moda,17.21,Greene-Smith,34.42,101.38000000000001
order_491,user_1190,2025-04-16,Mexico,mobile,paid_search,Tablet-Standard-64GB,1.0,352.36,5.0,347.36,Electrónica,25.21,Bowers LLC,25.21,322.15000000000003
order_492,user_7792,2025-01-29,Colombia,mobile,organic,Blender-XL-Red,2.0,24.74,10.0,39.48,Hogar,176.64,Long-Reid,353.28,-313.79999999999995
order_493,user_622,2025-04-18,Mexico,desktop,organic,Tablet-Standard-64GB,2.0,495.85,0.0,991.7,Electrónica,25.21,Bowers LLC,50.42,941.2800000000001
order_494,user_5723,2025-01-18,Argentina,mobile,organic,Sneakers-Urban-42,2.0,133.2,5.0,261.4,Moda,17.21,Greene-Smith,34.42,226.97999999999996
order_495,user_3692,2025-02-22,Argentina,desktop,organic,Blender-XL-Red,2.0,351.52,0.0,703.04,Hogar,176.64,Long-Reid,353.28,349.76
order_496,user_5452,2025-02-22,Argentina,mobile,organic,Phone-Pro-128GB,2.0,41.88,0.0,83.76,Electrónica,10.12,King Ltd,20.24,63.52000000000001
order_497,user_1763,2025-06-20,Colombia,mobile,organic,Vacuum-Pro-Black,2.0,155.93,10.0,301.86,Hogar,16.6,"Rivera, Carr and Finley",33.2,268.66
order_498,user_1991,2025-06-04,Mexico,mobile,social,Blender-XL-Red,1.0,472.32,10.0,462.32,Hogar,176.64,Long-Reid,176.64,285.68
order_499,user_4684,2025-03-21,Colombia,desktop,organic,Jacket-Winter-M,1.0,483.73,0.0,483.73,Moda,189.31,Mcmillan-Rhodes,189.31,294.42
order_500,user_3193,2025-05-09,Argentina,mobile,organic,Jacket-Winter-M,1.0,288.33,0.0,288.33,Moda,189.31,Mcmillan-Rhodes,189.31,99.01999999999998
order_501,user_7137,2025-04-28,Argentina,desktop,social,Laptop-Gaming-16GB,2.0,123.09,0.0,246.18,Electrónica,280.68,"Fuller, Pena and Myers",561.36,-315.18
order_502,user_6366,2025-01-02,Argentina,mobile,paid_search,Sneakers-Urban-42,2.0,487.52,5.0,970.04,Moda,17.21,Greene-Smith,34.42,935.62
order_503,user_1604,2025-04-25,Mexico,mobile,social,Tablet-Standard-64GB,1.0,25.87,15.0,10.870000000000001,Electrónica,25.21,Bowers LLC,25.21,-14.34
order_504,user_7847,2025-04-13,Mexico,desktop,social,Tablet-Standard-64GB,1.0,483.22,15.0,468.22,Electrónica,25.21,Bowers LLC,25.21,443.01000000000005
order_505,user_3519,2025-03-05,Mexico,mobile,social,Blender-XL-Red,2.0,180.89,0.0,361.78,Hogar,176.64,Long-Reid,353.28,8.5
order_506,user_7179,2025-05-26,Mexico,mobile,organic,Tablet-Standard-64GB,1.0,156.59,0.0,156.59,Electrónica,25.21,Bowers LLC,25.21,131.38
order_507,user_6668,2025-04-28,Mexico,desktop,social,Jacket-Winter-M,1.0,426.97,0.0,426.97,Moda,189.31,Mcmillan-Rhodes,189.31,237.66000000000003
order_508,user_3109,2025-01-11,Mexico,desktop,organic,Sneakers-Urban-42,1.0,438.9,0.0,438.9,Moda,17.21,Greene-Smith,17.21,421.69
order_509,user_170,2025-03-15,Colombia,desktop,organic,Laptop-Gaming-16GB,2.0,224.95,10.0,439.9,Electrónica,280.68,"Fuller, Pena and Myers",561.36,-121.46000000000004
order_510,user_7473,2025-04-27,Argentina,mobile,social,Jacket-Winter-M,2.0,374.38,0.0,748.76,Moda,189.31,Mcmillan-Rhodes,378.62,370.14
order_511,user_4538,2025-03-18,Mexico,desktop,organic,Sneakers-Urban-42,2.0,314.33,0.0,628.66,Moda,17.21,Greene-Smith,34.42,594.24
order_512,user_6729,2025-02-14,Mexico,desktop,paid_search,Jacket-Winter-M,1.0,117.37,15.0,102.37,Moda,189.31,Mcmillan-Rhodes,189.31,-86.94
order_513,user_4102,2025-02-15,Mexico,desktop,organic,Phone-Pro-128GB,2.0,410.16,0.0,820.32,Electrónica,10.12,King Ltd,20.24,800.08
order_514,user_2101,2025-04-21,Argentina,desktop,organic,Vacuum-Pro-Black,2.0,30.05,15.0,45.1,Hogar,16.6,"Rivera, Carr and Finley",33.2,11.899999999999999
order_515,user_5669,2025-06-18,Colombia,mobile,paid_search,Tablet-Standard-64GB,1.0,479.38,10.0,469.38,Electrónica,25.21,Bowers LLC,25.21,444.17
order_516,user_6037,2025-05-26,Argentina,mobile,social,Tablet-Standard-64GB,1.0,317.61,15.0,302.61,Electrónica,25.21,Bowers LLC,25.21,277.40000000000003
order_517,user_5681,2025-06-28,Mexico,desktop,organic,Laptop-Gaming-16GB,1.0,211.87,10.0,201.87,Electrónica,280.68,"Fuller, Pena and Myers",280.68,-78.81
order_518,user_7837,2025-03-03,Mexico,mobile,paid_search,Blender-XL-Red,1.0,268.78,0.0,268.78,Hogar,176.64,Long-Reid,176.64,92.13999999999999
order_519,user_6168,2025-02-10,Colombia,desktop,social,Tablet-Standard-64GB,2.0,390.79,10.0,771.58,Electrónica,25.21,Bowers LLC,50.42,721.1600000000001
order_520,user_6552,2025-06-10,Colombia,desktop,paid_search,Blender-XL-Red,1.0,134.87,0.0,134.87,Hogar,176.64,Long-Reid,176.64,-41.76999999999998
order_521,user_6964,2025-06-20,Argentina,desktop,paid_search,Sneakers-Urban-42,2.0,463.85,0.0,927.7,Moda,17.21,Greene-Smith,34.42,893.2800000000001
order_522,user_6155,2025-06-28,Colombia,mobile,organic,Blender-XL-Red,2.0,464.95,0.0,929.9,Hogar,176.64,Long-Reid,353.28,576.62
order_523,user_2661,2025-02-25,Mexico,mobile,paid_search,Blender-XL-Red,1.0,382.98,5.0,377.98,Hogar,176.64,Long-Reid,176.64,201.34000000000003
order_524,user_7594,2025-04-16,Colombia,desktop,organic,Sneakers-Urban-42,1.0,236.45,0.0,236.45,Moda,17.21,Greene-Smith,17.21,219.23999999999998
order_525,user_2258,2025-05-22,Colombia,mobile,social,Tablet-Standard-64GB,1.0,475.74,10.0,465.74,Electrónica,25.21,Bowers LLC,25.21,440.53000000000003
order_526,user_4716,2025-04-05,Mexico,mobile,organic,Vacuum-Pro-Black,2.0,224.55,0.0,449.1,Hogar,16.6,"Rivera, Carr and Finley",33.2,415.90000000000003
order_527,user_6764,2025-01-27,Argentina,mobile,organic,Sneakers-Urban-42,1.0,352.98,0.0,352.98,Moda,17.21,Greene-Smith,17.21,335.77000000000004
order_528,user_3114,2025-03-25,Mexico,mobile,organic,Vacuum-Pro-Black,1.0,39.77,0.0,39.77,Hogar,16.6,"Rivera, Carr and Finley",16.6,23.17
order_529,user_7982,2025-02-12,Argentina,desktop,paid_search,Tablet-Standard-64GB,1.0,411.43,0.0,411.43,Electrónica,25.21,Bowers LLC,25.21,386.22
order_530,user_2528,2025-05-10,Mexico,desktop,organic,Tablet-Standard-64GB,2.0,330.25,15.0,645.5,Electrónica,25.21,Bowers LLC,50.42,595.08
order_531,user_4579,2025-01-07,Mexico,mobile,organic,Laptop-Gaming-16GB,1.0,41.87,10.0,31.869999999999997,Electrónica,280.68,"Fuller, Pena and Myers",280.68,-248.81
order_532,user_4803,2025-06-27,Mexico,mobile,social,Blender-XL-Red,2.0,420.15,0.0,840.3,Hogar,176.64,Long-Reid,353.28,487.02
order_533,user_4326,2025-04-29,Argentina,desktop,organic,Blender-XL-Red,2.0,291.93,0.0,583.86,Hogar,176.64,Long-Reid,353.28,230.58000000000004
order_534,user_6058,2025-04-13,Colombia,desktop,organic,Phone-Pro-128GB,2.0,261.82,5.0,518.64,Electrónica,10.12,King Ltd,20.24,498.4
order_535,user_2088,2025-04-12,Mexico,mobile,paid_search,Tablet-Standard-64GB,1.0,493.57,15.0,478.57,Electrónica,25.21,Bowers LLC,25.21,453.36
order_536,user_6132,2025-03-06,Argentina,desktop,organic,Sneakers-Urban-42,2.0,32.15,0.0,64.3,Moda,17.21,Greene-Smith,34.42,29.879999999999995
order_537,user_810,2025-02-04,Argentina,mobile,organic,Tablet-Standard-64GB,1.0,71.65,0.0,71.65,Electrónica,25.21,Bowers LLC,25.21,46.440000000000005
order_538,user_1386,2025-04-29,Colombia,desktop,paid_search,Jacket-Winter-M,2.0,141.54,5.0,278.08,Moda,189.31,Mcmillan-Rhodes,378.62,-100.54000000000002
order_539,user_3919,2025-01-18,Mexico,desktop,organic,Laptop-Gaming-16GB,1.0,440.25,0.0,440.25,Electrónica,280.68,"Fuller, Pena and Myers",280.68,159.57
order_540,user_3777,2025-06-18,Colombia,mobile,social,Blender-XL-Red,1.0,457.72,0.0,457.72,Hogar,176.64,Long-Reid,176.64,281.08000000000004
order_541,user_3715,2025-04-23,Argentina,mobile,social,Blender-XL-Red,2.0,478.7,15.0,942.4,Hogar,176.64,Long-Reid,353.28,589.12
order_542,user_6703,2025-03-13,Mexico,desktop,organic,Phone-Pro-128GB,2.0,43.61,5.0,82.22,Electrónica,10.12,King Ltd,20.24,61.980000000000004
order_543,user_7357,2025-02-13,Colombia,mobile,paid_search,Laptop-Gaming-16GB,1.0,125.71,10.0,115.71,Electrónica,280.68,"Fuller, Pena and Myers",280.68,-164.97000000000003
order_544,user_3169,2025-06-05,Mexico,desktop,organic,Tablet-Standard-64GB,2.0,154.2,0.0,308.4,Electrónica,25.21,Bowers LLC,50.42,257.97999999999996
order_545,user_5362,2025-03-17,Argentina,desktop,paid_search,Blender-XL-Red,2.0,252.73,10.0,495.46,Hogar,176.64,Long-Reid,353.28,142.18
order_546,user_5,2025-04-11,Colombia,desktop,paid_search,Blender-XL-Red,1.0,268.65,10.0,258.65,Hogar,176.64,Long-Reid,176.64,82.00999999999999
order_547,user_2052,2025-06-21,Colombia,desktop,organic,Jacket-Winter-M,2.0,36.06,15.0,57.120000000000005,Moda,189.31,Mcmillan-Rhodes,378.62,-321.5
order_548,user_2352,2025-06-23,Argentina,desktop,paid_search,Blender-XL-Red,2.0,441.03,5.0,877.06,Hogar,176.64,Long-Reid,353.28,523.78
order_549,user_4640,2025-04-23,Colombia,mobile,paid_search,Sneakers-Urban-42,1.0,492.8,0.0,492.8,Moda,17.21,Greene-Smith,17.21,475.59000000000003
order_550,user_5076,2025-02-25,Mexico,mobile,organic,Tablet-Standard-64GB,2.0,244.45,10.0,478.9,Electrónica,25.21,Bowers LLC,50.42,428.47999999999996
order_551,user_4417,2025-06-22,Mexico,desktop,organic,Tablet-Standard-64GB,1.0,192.92,0.0,192.92,Electrónica,25.21,Bowers LLC,25.21,167.70999999999998
order_552,user_1220,2025-04-24,Colombia,mobile,social,Sneakers-Urban-42,2.0,406.89,5.0,808.78,Moda,17.21,Greene-Smith,34.42,774.36
order_553,user_2708,2025-06-12,Colombia,mobile,organic,Blender-XL-Red,1.0,57.14,15.0,42.14,Hogar,176.64,Long-Reid,176.64,-134.5
order_554,user_2352,2025-06-14,Argentina,desktop,paid_search,Tablet-Standard-64GB,1.0,459.72,10.0,449.72,Electrónica,25.21,Bowers LLC,25.21,424.51000000000005
order_555,user_2810,2025-06-18,Mexico,mobile,organic,Vacuum-Pro-Black,2.0,168.07,5.0,331.14,Hogar,16.6,"Rivera, Carr and Finley",33.2,297.94
order_556,user_792,2025-04-10,Argentina,mobile,social,Jacket-Winter-M,1.0,462.03,5.0,457.03,Moda,189.31,Mcmillan-Rhodes,189.31,267.71999999999997
order_557,user_5752,2025-04-24,Argentina,mobile,organic,Sneakers-Urban-42,1.0,147.54,0.0,147.54,Moda,17.21,Greene-Smith,17.21,130.32999999999998
order_558,user_5907,2025-01-02,Colombia,desktop,social,Vacuum-Pro-Black,2.0,259.44,10.0,508.88,Hogar,16.6,"Rivera, Carr and Finley",33.2,475.68
order_559,user_3219,2025-04-07,Colombia,mobile,social,Laptop-Gaming-16GB,2.0,231.5,10.0,453.0,Electrónica,280.68,"Fuller, Pena and Myers",561.36,-108.36000000000001
order_560,user_6332,2025-03-05,Argentina,desktop,organic,Tablet-Standard-64GB,2.0,219.33,5.0,433.66,Electrónica,25.21,Bowers LLC,50.42,383.24
order_561,user_2160,2025-03-03,Colombia,mobile,organic,Blender-XL-Red,1.0,482.68,15.0,467.68,Hogar,176.64,Long-Reid,176.64,291.04
